BJD - 2454833, Corrected Flux
2242.510091114, 1.009493733,
2242.530523173, 1.021992717,
2242.550955131, 1.004105562,
2242.571387089, 1.007072261,
2242.591819046, 1.020321556,
2242.612251003, 1.014575369,
2242.632682959, 1.008798651,
2242.653114916, 1.014559928,
2242.673546871, 1.023190770,
2242.693978827, 1.004098184,
2242.714410881, 1.015164792,
2242.734842736, 1.034249804,
2242.755274690, 1.020166741,
2242.775706743, 1.022252483,
2242.796138596, 1.005698055,
2242.816570549, 1.029357236,
2242.837002601, 1.012151731,
2242.857434453, 1.014936173,
2242.877866504, 1.021352204,
2242.898298455, 1.010354317,
2242.918730305, 1.034708365,
2242.939162356, 1.049768158,
2242.959594305, 0.993955672,
2242.980026155, 1.008867182,
2243.000458203, 1.006596538,
2243.020890052, 0.999861367,
2243.041322099, 1.009298568,
2243.061754047, 1.023570941,
2243.082185894, 1.010838731,
2243.102617841, 1.012954224,
2243.123049887, 1.021580932,
2243.143481833, 1.011033816,
2243.163913678, 1.030976082,
2243.184345723, 1.020035335,
2243.204777667, 1.037395545,
2243.225209511, 1.009795700,
2243.245641554, 1.022475726,
2243.266073498, 1.017703821,
2243.286505340, 1.012024036,
2243.306937383, 1.021373990,
2243.327369325, 1.042131593,
2243.347801166, 1.024531978,
2243.368233207, 1.015513484,
2243.409097088, 1.013780008,
2243.429529028, 1.032934198,
2243.470392906, 1.012611558,
2243.490824845, 1.025013813,
2243.511256783, 1.011536183,
2243.531688720, 1.024702281,
2243.552120757, 1.020868067,
2243.572552594, 0.979773087,
2243.592984630, 0.993622087,
2243.613416566, 1.029477593,
2243.633848402, 1.008816208,
2243.654280437, 1.017947882,
2243.674712372, 1.052658387,
2243.715576240, 1.036613288,
2243.736008073, 1.014562861,
2243.756440006, 1.087875118,
2243.776872039, 1.004733781,
2243.797303871, 1.022719671,
2243.817735802, 1.006293712,
2243.838167834, 1.020612630,
2243.858599664, 1.016211334,
2243.879031595, 1.012186756,
2243.899463625, 0.996697713,
2243.919895454, 1.047957012,
2243.940327384, 1.020562744,
2243.960759412, 1.008256396,
2243.981191341, 1.011710367,
2244.001623169, 1.009427216,
2244.022055196, 1.044741053,
2244.062918950, 1.012888655,
2244.083350976, 1.048240870,
2244.103782902, 1.020042456,
2244.124214727, 1.008770123,
2244.144646752, 1.016127159,
2244.165078677, 1.028499329,
2244.205942525, 1.049597811,
2244.226374448, 1.029782421,
2244.246806471, 1.016979766,
2244.267238294, 1.018360935,
2244.287670216, 0.999383910,
2244.308102237, 1.042802521,
2244.328534058, 1.005816269,
2244.348965979, 1.047177312,
2244.369398000, 1.020388598,
2244.389829920, 1.022045706,
2244.410261739, 1.037291485,
2244.451125677, 1.037853845,
2244.471557495, 1.037769764,
2244.491989513, 1.032791123,
2244.512421331, 1.041349681,
2244.532853248, 1.036921256,
2244.553285265, 1.031305752,
2244.573717081, 1.004103724,
2244.594148997, 1.027241090,
2244.614581012, 1.021297907,
2244.635012828, 1.048289830,
2244.655444742, 1.019920128,
2244.696308570, 1.037062619,
2244.716740483, 0.985586022,
2244.757604309, 1.018395340,
2244.778036221, 1.026828371,
2244.798468233, 1.052104071,
2244.818900144, 1.016925456,
2244.839331955, 1.000597623,
2244.859763965, 1.030110305,
2244.880195875, 1.034303637,
2244.900627685, 1.009784876,
2244.941491603, 1.014952114,
2244.961923612, 1.005252288,
2244.982355420, 1.015009913,
2245.002787327, 1.031516720,
2245.023219335, 1.028232019,
2245.043651141, 1.015881070,
2245.064083048, 0.997505183,
2245.104946859, 1.052445621,
2245.125378764, 1.034977951,
2245.145810769, 1.018377463,
2245.186674478, 1.018547798,
2245.207106481, 1.022341394,
2245.227538284, 1.017000076,
2245.247970187, 1.037887034,
2245.268402189, 1.019535924,
2245.288833991, 1.031459551,
2245.309265893, 1.029481941,
2245.329697894, 1.023060240,
2245.350129695, 1.012198044,
2245.370561595, 1.045856729,
2245.390993595, 1.018806229,
2245.431857294, 1.025847431,
2245.452289292, 1.015211026,
2245.472721091, 1.136782518,
2245.493152988, 1.023495989,
2245.513584986, 1.025891418,
2245.534016783, 1.032391687,
2245.554448680, 1.001015143,
2245.574880676, 1.028789131,
2245.595312472, 1.008127330,
2245.615744367, 1.022689034,
2245.636176363, 1.015246884,
2245.656608257, 1.000565484,
2245.677040151, 1.043919499,
2245.697472045, 1.035580158,
2245.717903939, 1.004407205,
2245.738335932, 1.051092572,
2245.758767725, 1.027682923,
2245.779199617, 0.995717295,
2245.799631609, 1.026743692,
2245.820063400, 1.001353591,
2245.840495291, 1.055521264,
2245.860927282, 0.990248551,
2245.881359072, 1.012014039,
2245.901790962, 1.047798825,
2245.922222952, 0.998430905,
2245.942654741, 1.011507325,
2245.963086629, 1.022464623,
2245.983518518, 1.019964659,
2246.003950406, 0.990865967,
2246.044814180, 1.024078374,
2246.065246067, 1.016740546,
2246.085677953, 1.006609351,
2246.106109939, 1.018296421,
2246.167405595, 0.979364355,
2246.187837379, 1.058358296,
2246.208269263, 1.022106964,
2246.228701246, 1.033207478,
2246.249133030, 1.025634016,
2246.269564912, 1.004165997,
2246.289996895, 1.016779325,
2246.310428677, 0.991930079,
2246.330860658, 1.018493022,
2246.351292539, 1.000934392,
2246.371724320, 1.024627167,
2246.412588180, 1.017730691,
2246.433019960, 1.030381984,
2246.453451939, 1.001499851,
2246.473883818, 1.023496708,
2246.494315697, 1.036820775,
2246.514747575, 0.998511910,
2246.535179452, 1.004183384,
2246.555611329, 1.007599115,
2246.576043306, 1.045960084,
2246.596475083, 1.016585154,
2246.616906959, 1.007411634,
2246.637338935, 1.007748548,
2246.657770710, 1.020893156,
2246.678202585, 1.011131000,
2246.698634559, 1.022631223,
2246.719066333, 1.026587590,
2246.739498207, 1.045783466,
2246.759930081, 1.015645589,
2246.780361953, 1.042970129,
2246.800793726, 1.019824749,
2246.821225698, 1.006088901,
2246.841657570, 1.017780357,
2246.862089441, 1.001718207,
2246.902953183, 1.026728340,
2246.923385053, 1.049779819,
2246.943817023, 1.059552829,
2246.964248793, 1.012576804,
2246.984680762, 1.017177380,
2247.005112631, 1.018494251,
2247.025544399, 1.008623952,
2247.045976367, 1.011731254,
2247.066408234, 1.007465247,
2247.086840002, 1.088414804,
2247.107271968, 1.079394524,
2247.127703835, 1.022007258,
2247.148135601, 1.019218851,
2247.168567567, 1.009724161,
2247.209431197, 1.004141483,
2247.229863161, 1.007516498,
2247.250295025, 0.983453818,
2247.291158752, 1.025521564,
2247.311590615, 1.025093007,
2247.332022478, 1.031293680,
2247.352454340, 1.050256827,
2247.393318063, 1.008084273,
2247.413750024, 1.016193281,
2247.434181785, 1.013330474,
2247.454613645, 0.997473806,
2247.475045505, 1.001514847,
2247.495477365, 1.002574545,
2247.515909124, 1.021849663,
2247.536341082, 1.017649998,
2247.556772941, 1.010064867,
2247.577204899, 0.984597878,
2247.597636657, 1.009692622,
2247.638500471, 1.013025836,
2247.658932227, 1.005399059,
2247.679364083, 0.998959265,
2247.699796039, 1.006452833,
2247.720227794, 0.999448392,
2247.740659649, 0.996693651,
2247.761091604, 0.983286310,
2247.781523458, 1.000645652,
2247.801955212, 1.004221441,
2247.822387166, 0.990016583,
2247.842819019, 1.007102443,
2247.863250771, 0.986154196,
2247.883682724, 1.027088483,
2247.904114576, 0.986726851,
2247.924546327, 1.002453925,
2247.944978278, 0.987452563,
2247.965410129, 1.015547213,
2247.985841880, 0.987128399,
2248.006273830, 0.990122415,
2248.026705679, 0.988060319,
2248.067569378, 1.003067322,
2248.088001227, 1.022239584,
2248.108432975, 1.000956746,
2248.128864923, 1.027397334,
2248.149296770, 1.003888179,
2248.190160464, 1.052366760,
2248.210592310, 1.036869051,
2248.231024156, 1.032525079,
2248.251456002, 1.048143018,
2248.271887847, 1.013024781,
2248.292319692, 1.022666577,
2248.312751537, 1.043772396,
2248.333183381, 1.055626518,
2248.374047068, 1.013977781,
2248.394478911, 1.021623355,
2248.414910854, 1.004295531,
2248.435342596, 1.019295723,
2248.455774438, 1.025462155,
2248.476206379, 1.009012041,
2248.496638120, 1.013791176,
2248.517069961, 1.012869194,
2248.537501902, 1.021588641,
2248.557933642, 1.018977635,
2248.578365481, 1.018218764,
2248.598797421, 1.032104647,
2248.619229260, 1.012757981,
2248.639660999, 1.012059624,
2248.660092937, 1.007582400,
2248.680524775, 1.024881764,
2248.700956512, 1.008293858,
2248.721388449, 1.022684284,
2248.741820286, 1.017886103,
2248.762252022, 1.003605680,
2248.782683959, 1.026023794,
2248.803115794, 0.997996460,
2248.823547730, 1.040533085,
2248.864411299, 1.022358221,
2248.884843133, 1.014179226,
2248.905274967, 1.016126270,
2248.925706801, 1.025824488,
2248.946138634, 1.011283557,
2248.966570466, 1.033403676,
2248.987002299, 1.018663340,
2249.007434131, 1.013827642,
2249.027865963, 1.039297649,
2249.048297794, 1.035990256,
2249.068729625, 1.034369646,
2249.089161455, 1.016775927,
2249.109593286, 1.028604891,
2249.130025116, 1.023422851,
2249.150456945, 1.017215717,
2249.170888774, 1.047438671,
2249.191320703, 1.000369308,
2249.211752432, 1.014264365,
2249.232184259, 1.008613729,
2249.252616187, 1.053102551,
2249.273047915, 1.016599291,
2249.293479742, 1.025362713,
2249.313911668, 1.043994048,
2249.334343394, 1.028909082,
2249.354775221, 1.018260713,
2249.375207146, 1.004886488,
2249.395638871, 0.985879222,
2249.416070796, 1.015701644,
2249.436502621, 1.017213064,
2249.456934445, 1.023299306,
2249.477366269, 1.017493115,
2249.497798092, 1.008552394,
2249.518229915, 1.013596238,
2249.538661738, 1.003940523,
2249.559093560, 0.995582191,
2249.599957203, 1.032152677,
2249.620389025, 1.017084336,
2249.640820846, 1.028127684,
2249.661252666, 1.024844996,
2249.681684487, 0.994268731,
2249.702116306, 1.015473923,
2249.722548126, 1.014237684,
2249.742979945, 1.001465644,
2249.763411664, 1.026269644,
2249.783843582, 1.008315391,
2249.804275400, 1.019341848,
2249.845139035, 1.021424606,
2249.865570852, 1.020918353,
2249.886002669, 1.023224182,
2249.906434485, 1.017499696,
2249.926866302, 1.033176661,
2249.947298117, 1.014852966,
2249.967729932, 1.027452452,
2249.988161747, 1.030739328,
2250.008593562, 1.035873215,
2250.029025476, 1.019851601,
2250.049457190, 1.043617684,
2250.069889103, 1.021130790,
2250.090320916, 1.027074384,
2250.110752629, 1.019244538,
2250.131184542, 1.025256995,
2250.151616354, 1.017649918,
2250.172048066, 1.018220361,
2250.192479977, 1.031110256,
2250.212911788, 1.038439698,
2250.233343499, 1.023703961,
2250.253775409, 1.029235251,
2250.274207219, 1.016614071,
2250.294639029, 1.016717653,
2250.335502647, 1.041413960,
2250.355934456, 1.013955557,
2250.376366264, 1.024688449,
2250.396798072, 1.030321857,
2250.417229880, 1.040881939,
2250.437661687, 1.006609817,
2250.458093494, 1.019173675,
2250.478525201, 1.005019811,
2250.498957107, 1.007395255,
2250.519388913, 1.002516586,
2250.539820618, 1.040273901,
2250.560252523, 0.993735932,
2250.580684328, 1.004445680,
2250.601116033, 1.017751902,
2250.621547937, 1.031702392,
